unix_time,gpu_used_mib,gpu_free_mib,arm_server_used_mib
1786108006.271874104,53219, 44031,7960
1786108008.329414548,53251, 43999,7992
1786108010.389373488,53795, 43455,8536
1786108012.452260746,57283, 39967,12024
1786108014.508094977,57283, 39967,12024
1786108016.598503372,57315, 39935,12056
1786108018.658222945,57315, 39935,12056
1786108020.717775070,57315, 39935,12056
1786108022.884174904,57315, 39935,12056
1786108024.939572926,57315, 39935,12056
1786108027.014661900,57315, 39935,12056
1786108029.090985309,57315, 39935,12056
1786108031.200513179,57315, 39935,12056
1786108033.284647990,57315, 39935,12056
1786108035.384883120,57347, 39903,12088
1786108037.499548213,57347, 39903,12088
1786108039.641039325,57347, 39903,12088
1786108041.708201467,57347, 39903,12088
1786108043.885180233,57347, 39903,12088
1786108045.947855918,57347, 39903,12088
1786108048.036460595,57347, 39903,12088
1786108050.095225974,57347, 39903,12088
1786108052.236302196,57923, 39327,12664
1786108054.296338480,57923, 39327,12664
1786108056.353334669,57923, 39327,12664
1786108058.428061415,57923, 39327,12664
1786108060.501180544,57923, 39327,12664
1786108062.561306506,57923, 39327,12664
1786108064.691377049,57923, 39327,12664
1786108066.761028237,58083, 39167,12824
1786108068.842454689,58083, 39167,12824
1786108070.936360081,58083, 39167,12824
1786108073.082757354,58083, 39167,12824
1786108075.182135490,58083, 39167,12824
1786108077.283859140,58083, 39167,12824
1786108079.482389372,58083, 39167,12824
1786108081.584758792,58083, 39167,12824
1786108083.700550408,58083, 39167,12824
1786108085.756874920,52931, 44319,12856
1786108087.822219316,52899, 44351,7640
1786108089.879410790,52899, 44351,7640
1786108091.937177580,75011, 22239,29752
1786108094.035496914,53379, 43871,10744
1786108096.100342076,70371, 26879,21336
1786108098.187605659,70371, 26879,25112
1786108100.282625766,70371, 26879,25112
1786108102.416484634,70371, 26879,25112
1786108104.484532093,70371, 26879,25112
1786108106.683734006,70371, 26879,25112
1786108108.885205990,70371, 26879,25112
1786108111.107026253,62819, 34431,12984
1786108113.182037453,52899, 44351,7640
1786108115.385987174,52899, 44351,7640
1786108117.596996774,52899, 44351,7640
1786108119.815846846,52899, 44351,7640
1786108122.184547056,52899, 44351,7640
1786108124.482174186,52899, 44351,7640
1786108126.690743888,52899, 44351,7640
1786108128.899000751,52899, 44351,7640
1786108131.186245387,52899, 44351,7640
1786108133.407718152,52899, 44351,7640
1786108135.685248238,52899, 44351,7640
1786108137.887001052,52899, 44351,7640
1786108140.082359294,52899, 44351,7640
1786108142.307963324,52899, 44351,7640
1786108144.369393817,54851, 42399,9880
1786108146.427788730,65283, 31967,20024
1786108148.490838483,66531, 30719,21272
1786108150.584213142,66531, 30719,21272
1786108152.665025796,66531, 30719,21272
1786108154.784414354,64803, 32447,19544
1786108156.984583528,64803, 32447,19544
1786108159.187891048,64803, 32447,19544
1786108161.391101846,64803, 32447,19544
1786108163.600519332,65155, 32095,19896
1786108165.747711483,65155, 32095,19896
1786108167.803472408,65155, 32095,19544
1786108169.992253679,64803, 32447,19544
1786108172.182987050,64803, 32447,19544
1786108174.383732047,64803, 32447,19544
1786108176.599208704,64803, 32447,19544
1786108178.884757563,64803, 32447,20792
1786108180.986493506,65411, 31839,20152
1786108183.077267813,67459, 29791,22200
1786108185.138408087,64803, 32447,19544
