unix_time,gpu_used_mib,gpu_free_mib,arm_server_used_mib
1786109926.452300984,46365, 50886,550
1786109928.584500745,46365, 50886,550
1786109930.803113429,46365, 50886,550
1786109932.991527707,46365, 50886,550
1786109935.188878839,46365, 50886,550
1786109937.240850346,48255, 48996,2440
1786109939.296541012,48223, 49028,2408
1786109941.351000584,53577, 43674,7762
1786109943.408337970,53577, 43674,7762
1786109945.466707973,53577, 43674,7762
1786109947.600886256,53577, 43674,7762
1786109949.659493323,53577, 43674,7762
1786109951.744154227,58219, 39032,12404
1786109953.838608634,58219, 39032,12404
1786109955.893324381,53835, 43416,8020
1786109957.953404689,53421, 43830,7958
1786109960.024900180,53837, 43414,8022
1786109962.084719238,53837, 43414,8022
1786109964.217239916,53901, 43350,8086
1786109966.306365201,53453, 43798,7670
1786109968.384138285,57773, 39478,11958
1786109970.441969049,57773, 39478,11958
1786109972.515098701,57805, 39446,11990
1786109974.592068415,57805, 39446,11990
1786109976.692181815,58061, 39190,12246
1786109978.790373645,58605, 38646,12790
1786109980.845557050,58605, 38646,12790
1786109982.982555085,58605, 38646,12790
1786109985.098361506,58605, 38646,12790
1786109987.183461356,58605, 38646,12790
1786109989.242065817,58605, 38646,12790
1786109991.300544580,58637, 38614,12822
1786109993.449297971,58637, 38614,12822
1786109995.584046021,58637, 38614,12822
1786109997.684225567,58637, 38614,12822
1786109999.815795816,58637, 38614,12822
1786110001.898510060,58637, 38614,12822
1786110003.988897485,58637, 38614,12822
1786110006.124407853,58637, 38614,12822
1786110008.186586706,58637, 38614,12822
1786110010.250606823,58637, 38614,12822
1786110012.312354719,58637, 38614,12822
1786110014.382604152,53805, 43446,7990
1786110016.482596561,53901, 43350,8086
1786110018.558376191,53805, 43446,7990
1786110020.686150776,53805, 43446,7990
1786110022.817009858,53901, 43350,8086
1786110024.883931795,53805, 43446,7990
1786110026.982686433,53805, 43446,7990
1786110029.041128305,53805, 43446,7990
1786110031.102723229,53805, 43446,7990
1786110033.224796233,56525, 40726,10710
1786110035.331994289,53455, 43796,7640
1786110037.394477539,53455, 43796,7640
1786110039.455780824,53775, 43476,7960
1786110041.569826497,53775, 43476,7960
1786110043.685167616,53775, 43476,7960
1786110045.771443104,53775, 43476,7960
1786110047.909118273,53775, 43476,7960
1786110049.968659676,53679, 43572,9624
1786110052.054204998,54351, 42900,8536
1786110054.183941828,57871, 39380,12056
1786110056.291869744,57871, 39380,12056
1786110058.352832185,57871, 39380,12056
1786110060.516334081,57871, 39380,12056
1786110062.583945675,57903, 39348,12088
1786110064.730608751,58671, 38580,12856
1786110066.788057492,58671, 38580,12856
1786110068.850973362,58671, 38580,12856
1786110071.018873590,58671, 38580,12856
1786110073.084406102,58671, 38580,12856
1786110075.144305282,58671, 38580,12856
1786110077.306851978,58671, 38580,12856
1786110079.365254388,58671, 38580,12856
1786110081.582445694,58671, 38580,12856
1786110083.684502942,58671, 38580,12856
1786110085.743372200,58671, 38580,12856
1786110087.804548309,58671, 38580,12856
1786110089.959234687,58671, 38580,12856
1786110092.131248083,58671, 38580,12856
1786110094.299548737,58671, 38580,12856
1786110096.515330141,58671, 38580,12856
1786110098.647800349,58671, 38580,12856
1786110100.807897794,58671, 38580,12856
1786110102.883921739,58671, 38580,12856
1786110104.982379271,58671, 38580,12856
1786110107.037946446,58671, 38580,12856
1786110109.104066387,58671, 38580,12856
1786110111.183314744,58671, 38580,12856
1786110113.283184393,58671, 38580,12856
1786110115.337719792,58671, 38580,12856
1786110117.396611628,58671, 38580,12856
1786110119.583980101,58671, 38580,12856
1786110121.683762795,58671, 38580,12856
1786110123.745394586,58671, 38580,12856
1786110125.811635024,58671, 38580,12856
1786110127.935771562,58671, 38580,12856
1786110130.018892617,53455, 43796,7640
1786110132.080995750,53455, 43796,7640
1786110134.183479973,70927, 26324,25112
1786110136.270894097,70927, 26324,25112
1786110138.340999057,70927, 26324,25112
1786110140.405747046,70927, 26324,25112
1786110142.465266386,70927, 26324,25112
1786110144.583082384,70927, 26324,25112
1786110146.791924139,53455, 43796,7640
1786110148.988243414,53455, 43796,7640
1786110151.193097745,53455, 43796,7640
1786110153.483982203,53455, 43796,7640
1786110155.689946104,53455, 43796,7640
1786110157.984978715,53455, 43796,7640
1786110160.195998955,53455, 43796,7640
1786110162.486906774,53455, 43796,7640
1786110164.695516409,53455, 43796,7640
1786110167.093558885,53455, 43796,7640
1786110169.306135990,53455, 43796,7640
1786110171.394554076,61359, 35892,15800
1786110173.453829991,65807, 31444,19992
1786110175.515219804,67215, 30036,21400
1786110177.582149796,67215, 30036,21400
1786110179.715798474,67215, 30036,21400
1786110181.884742705,65359, 31892,19544
1786110184.002617632,65359, 31892,19544
1786110186.306943818,65359, 31892,19544
1786110188.500990558,65359, 31892,19544
1786110190.782776430,65679, 31572,19864
1786110192.915017774,65679, 31572,19864
1786110194.984292067,65359, 31892,19544
1786110197.185049433,65359, 31892,19544
1786110199.398801502,65359, 31892,19544
1786110201.682269095,65359, 31892,19544
1786110203.893599734,65359, 31892,19544
1786110206.095046803,65359, 31892,19544
1786110208.197943709,65967, 31284,20152
1786110210.272499850,67983, 29268,22168
1786110212.332100767,67983, 29268,22168
1786110214.407309828,65359, 31892,19544
1786110216.463858982,65359, 31892,19544
